Brand and model;Year of manufacture;Mileage;Engine power (hp);Fuel type;Transmission type;Trim level / Equipment line;Vehicle condition;Origin;Energy consumption;Power output (kW);Category / Vehicle type;Engine displacement (cc);Price (EUR);Color;Air conditioning / Climate control;Transmission;Number of doors;Number of seats;Drive type;Interior equipment / Interior design;Accident history;Number of previous owners;Maintenance / service history;Inspection status (TÜV/HU);Sale price;Region / city;Listing duration;Seller type;Dealer rating;Body & paint;Panel gaps & fit;Windows & lights;Tires & wheels;Undercarriage & edges;Seats & upholstery;Dashboard & controls;Headliner & carpets;Trunk;Odor;Extras
BMW 3 Series;2013;114835;141;petrol;manual;Limited;acceptable;dealer;7.5;105.1;Sedan;1600;31067;black;manual AC;manual;4;5;front-wheel;leather;Minor accident;2;No service history;Valid TÜV/HU;31067;Berlin;<7 days;Dealer;2.8;Fair;Uneven;Clear;Damaged;Clean;Torn;Worn;Sagging;Rust;Smoke;Alloy wheels, Panoramic roof, Lane-keeping assist, Rearview camera, Park assist, Trailer hitch
Skoda Fabia;2012;166151;135;diesel;manual;Base;acceptable;private;8.0;100.7;SUV;2000;18722;blue;automatic climate control;manual;4;5;front-wheel;part-leather;Minor accident;4;Unknown;Unknown;18722;Leipzig;7-30 days;Private;;Good;Slightly uneven;Cracked or yellowed;Uneven wear;Oil stains;Torn;Good;Sagging;Clean;Moisture;Panoramic roof
BMW X3;2016;168960;196;petrol;automatic;Sport;good;trade-in;4.9;146.2;SUV;3500;15427;red;automatic climate control;automatic;5;4;front-wheel;alcantara;Accident-free;3;Unknown;Expiring soon;15427;Hamburg;<7 days;Dealer;2.7;Poor;Uneven;Minor scratches;Even wear;Minor rust;Worn;Worn;Minor stains;Minor stains;Pet odor;Panoramic roof, Alloy wheels, Lane-keeping assist, Rearview camera
BMW 5 Series;2008;117128;122;petrol;manual;Comfort;very good;import;5.5;91.0;SUV;2000;15479;white;automatic climate control;manual;4;5;front-wheel;alcantara;Accident-free;1;Unknown;Unknown;15479;Frankfurt;7-30 days;Private;;Excellent;Even;Minor scratches;Damaged;Water damage;Worn;Excellent;Clean;Rust;Smoke;Alloy wheels, Lane-keeping assist
Skoda Octavia;2015;102098;60;petrol;automatic;Comfort;good;dealer;5.6;44.7;Convertible;1000;1500;red;automatic climate control;automatic;4;5;all-wheel;part-leather;Unknown;3;Full service history;Unknown;1500;Berlin;>6 months;Dealer;4.3;Fair;Even;Minor scratches;Damaged;Oil stains;Excellent;Good;Clean;Rust;Moisture;Lane-keeping assist, Trailer hitch, Alloy wheels, Park assist, Panoramic roof, Rearview camera
Audi Q3;2009;61885;89;diesel;automatic;Limited;good;trade-in;6.3;66.4;Hatchback;1200;26399;beige;dual-zone climate control;automatic;3;4;front-wheel;leather;Accident-free;1;Full service history;Expiring soon;26399;Cologne;3-6 months;Private;;Good;Uneven;Cracked or yellowed;Even wear;Oil stains;Worn;Good;Moisture damage;Moisture;Moisture;Trailer hitch, Alloy wheels, Panoramic roof, Lane-keeping assist
Opel Insignia;2007;44598;65;petrol;manual;Premium;very good;dealer;7.9;48.5;Sedan;1600;42519;beige;no AC;manual;5;5;front-wheel;leather;Major accident;4;Full service history;Expired;42519;Cologne;<7 days;Private;;Fair;Uneven;Cracked or yellowed;New;Water damage;Worn;Good;Clean;Rust;Smoke;Alloy wheels, Trailer hitch, Panoramic roof, Park assist
Renault Clio;2013;78711;154;diesel;automatic;Base;acceptable;import;8.7;114.8;Convertible;1998;2053;grey;automatic climate control;automatic;4;5;all-wheel;synthetic;Minor accident;1;Full service history;Expiring soon;2053;Berlin;3-6 months;Private;;Poor;Even;Minor scratches;Even wear;Water damage;Torn;Excellent;Minor stains;Minor stains;Moisture;Panoramic roof, Trailer hitch, Alloy wheels, Rearview camera, Park assist
Volkswagen Tiguan;2020;62780;156;petrol;automatic;Excellence;acceptable;private;4.8;116.3;Convertible;1400;5886;white;manual AC;automatic;5;5;all-wheel;synthetic;Unknown;5;No service history;Expired;5886;Stuttgart;>6 months;Private;;Good;Even;Minor scratches;Uneven wear;Minor rust;Worn;Worn;Minor stains;Rust;Moisture;Lane-keeping assist, Trailer hitch, Alloy wheels
Audi A4;2020;108784;113;petrol;automatic;Premium;good;private;9.1;84.3;Wagon;1998;17916;grey;no AC;automatic;4;5;front-wheel;synthetic;Major accident;1;Unknown;Unknown;17916;Cologne;7-30 days;Private;;Excellent;Slightly uneven;Cracked or yellowed;New;Oil stains;Torn;Worn;Moisture damage;Minor stains;Smoke;Trailer hitch, Lane-keeping assist, Alloy wheels, Park assist, Panoramic roof, Rearview camera
